Tag;pNR;pVersion;pName;Dauer;Uhrzeit;Teilnehmer;RÃ¤ume;PrÃ¼fer
5;3020;132;Software Engineering;4;11;87;"2/264" "2/301" "1/020" "L/107" "L/106" "L/111" "L/116" "L/123" "L/125" ;4406/0;
5;6010;132;Funktionentheorie;4;11;9;"3/323" "8/008" ;455/0;
5;2010;182;Analysis 2;4;11;65;"8/023" "8/043" "8/141" "8/146" "8/341" "1/108" ;2417/0;
5;3020;182;Lineare Algebra 2;4;11;77;"1/109" "1/110" "1/111" "1/303" "1/306" "1/206" "1/208" ;4169/0;
5;4010;182;Analysis 3;4;11;28;"1/209" "1/210" "1/211" ;514/0;
5;921922030;192;Massivbau;5;11;9;"3/203" ;15282/1969;
5;4020;132;Numerik;4;11;4;"2/214" ;95/0;
5;2040;132;Grundlagen Informatik 2;4;12;22;"3/201" ;4406/0;
5;3010;182;Grundlagen Informatik 2;4;12;77;"L/126" "L/128" "1/U27" "1/U28" ;4406/0;
5;1010;182;Analysis 1;4;12;71;"1/227" "1/309" "8/003" ;8461/0;
5;3030;182;Math. Anwendungen 2;2;13;84;"3/111" "1/010" "1/013" "8/346" "1/U37" "1/106" ;3213/0;
5;4050;132;Wirtschaft;4;13;44;"1/220" "1/222" "1/225" ;6415/15819;
5;4020;182;Numerik;4;14;27;"1/311" "3/101" ;95/0;
5;2020;132;Numerische Mathematik;4;14;66;"3/211" "3/212" "3/214" "3/215" "3/223" "3/224" ;95/0;
5;2030;132;Mathematik 2;4;14;54;"2/264" "2/301" "1/020" "L/107" "L/106" "L/111" ;1436/1963;
5;3020;132;Wärmeschutz 1;3;14;87;"L/116" "L/123" "L/125" "3/323" "8/008" "8/023" "8/043" ;346/149;
5;3050;132;Energietechnik 1;4;14;52;"8/141" "8/146" "8/341" "1/108" "1/109" "1/110" ;1436/1471;
5;4020;132;Wärmeschutz 2;3;14;4;"1/111" ;346/149;
5;4050;132;Energietechnik 2;4;14;44;"1/303" "1/306" "1/206" "1/208" ;1436/149;
5;6050;132;Energietechnik 3;4;14;2;"1/209" ;1436/346;
5;7040;132;Betriebspsychologie;2;14;19;"1/210" "1/211" ;3715/0;
6;17220;132;Versicherungsmathematik 2;4;8;1;"1/227" ;1991/1992;
6;3010;132;Schallschutz 1;4;8;44;"1/309" "1/311" "3/101" ;3615/1471;
6;4010;132;Schallschutz 2;4;8;12;"3/111" ;3615/1471;
6;6010;132;Theoret. Bauphysik Wärme;4;8;9;"3/201" ;346/0;
6;1010;182;Grundlagen Bauphysik 1;3;8;71;"3/203" "3/211" "3/212" "3/214" "3/215" "3/223" "3/224" ;1471/0;
